TAF	Latitude	Longitude
YSWL	-37.07	142.74
YYWG	-36.03	146.03
YGAD	-32.24	115.68
YGIG	-31.46	115.86
YKAL	-14.30	126.65
YMRW	-29.20	116.02
YROE	-20.76	117.16
YKNG	-33.70	117.65
YWKS	-66.68	111.53
YMHL	-32.11	119.76
YWDG	-30.03	119.39
YKWA	-23.78	120.14
YABR	-24.62	118.62
YGIA	-22.58	120.04
YORB	-34.79	148.61
WSSS	1.37	103.99
AYPY	-9.45	147.22
YDWF	-15.74	131.92
YWMO	-26.05	127.69
YMCS	-21.02	146.48
